School_No,School_Name,School_Type,School_Status,"Prep Males Total""""","Prep Females Total""""","Prep Total""""","Year 1 Males Total""""","Year 1 Females Total""""","Year 1 Total""""","Year 2 Males total""""","Year 2 Females Total""""","Year 2 Total""""","Year 3 Males Total""""","Year 3 Females Total""""","Year 3 Total""""","Year 4 Males Total""""","Year 4 Females Total""""","Year 4 Total""""","Year 5 Males Total""""","Year 5 Females Total""""","Year 5 Total""""","Year 6 Males Total""""","Year 6 Females Total""""","Year 6 Total""""","Primary Total"""""
2805,Laharum Primary School,Primary,O,1,0,1,4,1,5,1,4,5,2,3,5,5,2,7,1,1,2,3,2,5,30
3278,Lake Boga Primary School,Primary,O,3,4,7,6,6,12,7,3,10,9,7,16,4,3,7,4,3,7,5,5,10,69
854,Lake Bolac College,Pri/Sec,O,2,5,7,4,7,11,5,6,11,4,9,13,3,5,8,7,2,9,1,5,6,65
2122,Lake Charm Primary School,Primary,O,0,1,1,1,1,2,0,2,2,1,1,2,1,1,2,1,0,1,0,0,0,10
2672,Lakes Entrance Primary School,Primary,O,21,10,31,15,7,22,11,7,18,10,13,23,7,13,20,20,9,29,13,14,27,170
863,Lal Lal Primary School,Primary,O,4,4,8,3,0,3,1,6,7,3,1,4,6,2,8,3,3,6,6,0,6,42
4976,Lalor East Primary School,Primary,O,24,13,37,27,24,51,19,12,31,35,22,57,19.6,22,41.6,28,33,61,22,29,51,329.6
5532,Lalor Gardens Primary School,Primary,O,33,34,67,29,42,71,33,37,70,20,23,43,33,26,59,24,33,57,27,24,51,418
5035,Lalor North Primary School,Primary,O,21,18,39,27,25,52,21,21,42,24.4,26,50.4,24,28,52,25,24,49,21,30,51,335.4
4709,Lalor Primary School,Primary,O,14,20,34,15,10,25,20,23,43,19,15,34,20,17,37,22,18,40,17,23,40,253
1814,Lancaster Primary School,Primary,O,5,2,7,3,4,7,8,2,10,5,3,8,4,2,6,7,2,9,2,0,2,49
707,Lancefield Primary School,Primary,O,7,12,19,9,14,23,19,9,28,17,10,27,14,12,26,12,7,19,13,7,20,162
1862,Landsborough Primary School,Primary,O,0,0,0,0,1,1,0,0,0,2,2,4,0,0,0,1,0,1,1,2,3,9
