,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
232,ROOFTOP,"62 Mark St, North Melbourne VIC 3051, Australia",ChIJrbQgQBhd1moRenTtOA6s54M,"62 Mark St, North Melbourne VIC 3051, Australia",-37.793382,144.937779,1,3051,OK,street_address
233,ROOFTOP,"62 Mark St, North Melbourne VIC 3051, Australia",ChIJrbQgQBhd1moRenTtOA6s54M,"62 Mark St, North Melbourne VIC 3051, Australia",-37.793382,144.937779,1,3051,OK,street_address
234,ROOFTOP,"54 Lygon St, Carlton VIC 3053, Australia",ChIJo6Hd281C1moRbV2y4THAjs8,"54 Lygon St, Carlton VIC 3053, Australia",-37.8059012,144.966192,1,3053,OK,street_address
235,ROOFTOP,"235 Palmerston St, Carlton VIC 3053, Australia",ChIJK3ZsbdZC1moR4XZvlEmhAXA,"235 Palmerston St, Carlton VIC 3053, Australia",-37.7961495,144.9672854,1,3053,OK,street_address
236,ROOFTOP,"491 Sydney Rd, Brunswick VIC 3056, Australia",ChIJWU18WE1D1moROn4z33dzzQo,"491 Sydney Rd, Brunswick VIC 3056, Australia",-37.765521,144.9620331,1,3056,OK,street_address
237,ROOFTOP,"298 Sydney Rd, Coburg VIC 3058, Australia",ChIJ1541FrJE1moRCvnm8IK3ZFs,"298 Sydney Rd, Coburg VIC 3058, Australia",-37.7470071,144.9661184,1,3058,OK,street_address
238,ROOFTOP,"111 Anderson Rd, Fawkner VIC 3060, Australia",ChIJw4nl_ktF1moRBYNaHZ52dTA,"111 Anderson Rd, Fawkner VIC 3060, Australia",-37.6959891,144.9666171,1,3060,OK,street_address
239,ROOFTOP,"127 Craigieburn Rd, Craigieburn VIC 3064, Australia",ChIJRznXN4pR1moRCdDWCywx7X4,"127 Craigieburn Rd West, Craigieburn VIC 3064, Australia",-37.5990828,144.9348586,1,3064,OK,premise
240,ROOFTOP,"16 Rushwood Dr, Craigieburn VIC 3064, Australia",ChIJcZRcVeVR1moRkYgC8M-uXws,"16 Rushwood Dr, Craigieburn VIC 3064, Australia",-37.6117932,144.9502138,1,3064,OK,premise
241,ROOFTOP,"9 Lachlan Cres, Roxburgh Park VIC 3064, Australia",ChIJS2NDqKRR1moR6jcVIQVmdfg,"9 Lachlan Cres, Roxburgh Park VIC 3064, Australia",-37.618173,144.927656,1,3064,OK,street_address
242,ROOFTOP,"75 Interlink Dr, Craigieburn VIC 3064, Australia",ChIJq2nOVvZR1moRoXcfV7Da6N8,"75 Interlink Dr, Craigieburn VIC 3064, Australia",-37.603353,144.946951,1,3064,OK,street_address
243,ROOFTOP,"16 Rayfield Ave, Craigieburn VIC 3064, Australia",ChIJl6oNmSBS1moRPYmfUTXAsvk,"16 Rayfield Ave, Craigieburn VIC 3064, Australia",-37.5968066,144.9356118,1,3064,OK,street_address
244,GEOMETRIC_CENTER,"King William St, Fitzroy VIC 3065, Australia",EixLaW5nIFdpbGxpYW0gU3QsIEZpdHpyb3kgVklDIDMwNjUsIEF1c3RyYWxpYQ,"King William St, Fitzroy VIC 3065, Australia",-37.8021861,144.9763132,1,3065,OK,route
245,ROOFTOP,"16-18 Michael St, Fitzroy North VIC 3068, Australia",ChIJb7tvuxND1moRB-lcyn2mAjI,"16-18 Michael St, North Fitzroy VIC 3068, Australia",-37.7875261,144.9904932,1,3068,OK,street_address
246,ROOFTOP,"75 Reid St, Fitzroy North VIC 3068, Australia",ChIJ_YqufD5D1moRHDJvm1xgGCM,"75 Reid St, Fitzroy North VIC 3068, Australia",-37.7854102,144.9807475,1,3068,OK,street_address
